PeriodSortKey,PeriodYear,PeriodMonth,BasTotalDebit,BasTotalCredit,BasTotalBalance,PnlTotalDebit,PnlTotalCredit,PnlTotalBalance
202400,2024,0,7238487.159999999,7238487.159999999,-1.7917045624926686e-10,0.0,0.0,0.0
202401,2024,1,2793298.4599999986,2759520.480000002,33777.979999999916,386295.5200000001,420073.4999999999,-33777.980000000025
202402,2024,2,956500.9099999997,900833.8899999991,55667.02000000003,214728.44000000035,270395.45999999996,-55667.020000000135
202403,2024,3,1425974.79,1397734.2400000005,28240.550000000097,309289.31,337529.8600000001,-28240.55000000009
202404,2024,4,1273747.5400000003,1279689.1699999995,-5941.630000000049,268093.39000000013,262151.76,5941.630000000048
202405,2024,5,1510176.4699999993,1148049.2900000005,362127.1800000002,173152.02000000022,535279.2,-362127.17999999993
202406,2024,6,1625751.0400000014,1672672.5000000012,-46921.46000000012,439774.0500000004,392852.58999999997,46921.46000000022
202407,2024,7,1701053.3000000026,1611115.2800000017,89938.01999999987,272002.9700000002,361940.99000000017,-89938.01999999999
202408,2024,8,1357677.1499999987,1243296.0,114381.15000000004,157689.92000000016,272071.0699999999,-114381.14999999992
202409,2024,9,1992265.6100000006,1883729.8800000022,108535.73000000008,287446.10000000027,395981.8300000001,-108535.72999999976
202410,2024,10,1520700.8000000007,1438191.9200000004,82508.87999999998,221722.63999999998,304231.5199999999,-82508.88000000003
202411,2024,11,1681317.3500000013,1465820.6500000008,215496.7000000004,266717.9999999999,482214.69999999995,-215496.69999999995
202412,2024,12,2328236.2700000005,2438453.4299999997,-110217.15999999986,817751.5399999996,707534.38,110217.16000000006
202455,2024,55,254307.09,372058.86,-117751.77,457965.17000000004,340213.4,117751.77000000002
202500,2025,0,8679003.13,8679003.130000003,3.1377567211166024e-10,0.0,0.0,0.0
202501,2025,1,1763233.9,1712625.7799999982,50608.119999999995,366491.61999999965,417099.73999999964,-50608.119999999995
202502,2025,2,1584991.3299999994,1522071.7800000005,62919.549999999974,393692.9899999999,456612.5399999998,-62919.55000000002
202503,2025,3,2209102.9599999986,2240807.5499999984,-31704.58999999999,634676.5599999994,602971.9700000003,31704.589999999997
202504,2025,4,2128807.189999999,1979808.569999999,148998.62,308260.12999999983,457258.75,-148998.6199999998
202505,2025,5,1862055.3699999999,1589541.700000002,272513.67000000033,318253.63000000006,590767.3,-272513.66999999987
202506,2025,6,2962210.2999999966,3108132.1199999996,-145921.81999999954,500066.1899999998,354144.36999999994,145921.81999999992
202507,2025,7,2452893.5,2328860.6300000013,124032.87000000007,328470.31000000023,452503.18000000005,-124032.87000000013
202508,2025,8,2826566.479999999,2955189.46,-128622.98,502932.89999999956,374309.9200000001,128622.97999999997
202509,2025,9,3626706.009999997,3581886.9600000004,44819.0499999997,510526.4600000003,555345.5099999999,-44819.04999999968
202510,2025,10,3086227.420000002,2952530.2500000037,133697.16999999972,443956.0799999996,577653.2499999997,-133697.16999999993
202511,2025,11,1614971.3599999992,1593395.139999999,21576.219999999885,385809.2199999999,407385.43999999994,-21576.219999999677
202512,2025,12,748641.1400000001,772032.7899999992,-23391.650000000027,117392.12999999999,94000.48,23391.649999999994
