group_code,group_name,description,category,manager,status
PGA1500005,"InsightNow Platform, non-recurring",ISPN,"0,01",,
PGA1500006,"InsightNow Network, non recurring",ISNN,"0,01",,
PGA1500007,Installation,Verwijderen-INS,"0,01",,
PGA1500009,Munisense Professional Services,MPS,"0,01",,
PGA1500011,Third Party Products,TPP,"0,01",,
PGA1500012,"Third Party Services, non-recurring",TPSN,"0,01",,
PGA1600014,Samenstelling - gebruikt grootboek van onderdelen,SAM,"0,01",,
PGA1600016,"InsightNow Platform, recurring per month",ISPRM,"0,01",,
PGA1600017,"InsightNow Platform, recurring per 3 months",ISPRQ,"0,01",,
PGA1600018,"InsightNow Platform, recurring per 6 months",ISPRH,"0,01",,
PGA1600019,"InsightNow Platform, recurring per year",ISPRY,"0,01",,
PGA1600020,"InsightNow Network, recurring per month",ISNRM-CI,"0,01",,
PGA1600021,"InsightNow Network, recurring per 3 months",ISNRQ-CI,"0,01",,
PGA1600022,"InsightNow Network, recurring per 6 months",ISNRH-CI,"0,01",,
PGA1600023,"InsightNow Network, recurring per year",ISNRY-CI,"0,01",,
PGA1600024,"InsightNow Network, recurring per year, full serv",ISNRY-FS,"0,01",,
PGA1600025,"InsightNow Network, recurring per 6 months, full s",ISNRH-FS,"0,01",,
PGA1600026,"InsightNow Network, recurring per 3 months, full s",ISNRQ-FS,"0,01",,
PGA1600027,"InsightNow Network, recurring per month, full serv",ISNRM-FS,"0,01",,
PGA1600028,Internal Sub Assemblies (not for sale),ISA,"0,01",,
PGA1600029,"Third-party services, recurring per month",TPSRM,"0,01",,
PGA1600030,"Third-party services, recurring per 3 months",TPSRQ,"0,01",,
PGA1600031,"Third-party services, recurring per 6 months",TPSRH,"0,01",,
PGA1600032,"Third-party services, recurring per year",TPSRY,"0,01",,
PGA1600033,InsightNow Rentals,RNT,"0,01",,
PGA1600034,"InsightNow Platform, recurring per 3 year",ISPRY3,"0,01",,
PGA1600036,Munisense Professional Services recurring per 2 ye,MPSRY2,"0,01",,
PGA1700038,Balans boekingen,ISBAL,"0,01",,
PGA1700039,"InsightNow Lease, recurring, month",LSERM,"0,01",,
PGA1700040,"InsightNow Lease, recurring, per 3 months",LSERQ,"0,01",,
PGA1700041,"InsightNow Lease, recurring, per 6 months",LSERH,"0,01",,
PGA1700042,"InsightNow Lease, recurring, per year",LSERY,"0,01",,
PGA2000044,Munisense Professional Services recurring per ye,MPSRY1,"0,01",,
PGA2200045,,,"0,01",,
PGA2200046,,,"0,01",,
